cardNumber,player,team,subset,rookie,beckettPlayer,beckettTeam,footballCardShopPlayer,footballCardShopTeam,checklistInsiderPlayer,checklistInsiderTeam,searchSynthesisPlayer,searchSynthesisTeam,sourceCount,verificationStatus,notes
301,Travis Hunter,Jacksonville Jaguars,Base Rated Rookie,True,Travis Hunter,Jacksonville Jaguars,,,Travis Hunter,Jacksonville Jaguars,,,2,TWO_SOURCE_VERIFIED,Independence positively assessed: differing display formatting between sources (see AUDIT notes) with matching underlying facts.
302,Cam Skattebo,New York Giants,Base Rated Rookie,True,Cam Skattebo,New York Giants,,,Cam Skattebo,New York Giants,,,2,TWO_SOURCE_VERIFIED,Independence positively assessed: differing display formatting between sources (see AUDIT notes) with matching underlying facts.
303,Omarion Hampton,Los Angeles Chargers,Base Rated Rookie,True,Omarion Hampton,Los Angeles Chargers,,,Omarion Hampton,Los Angeles Chargers,,,2,TWO_SOURCE_VERIFIED,Independence positively assessed: differing display formatting between sources (see AUDIT notes) with matching underlying facts.
304,Tyler Shough,New Orleans Saints,Base Rated Rookie,True,Tyler Shough,New Orleans Saints,,,Tyler Shough,New Orleans Saints,,,2,TWO_SOURCE_VERIFIED,Independence positively assessed: differing display formatting between sources (see AUDIT notes) with matching underlying facts.
305,Ashton Jeanty,Las Vegas Raiders,Base Rated Rookie,True,Ashton Jeanty,Las Vegas Raiders,,,Ashton Jeanty,Las Vegas Raiders,,,2,TWO_SOURCE_VERIFIED,Independence positively assessed: differing display formatting between sources (see AUDIT notes) with matching underlying facts.
306,Shedeur Sanders,Cleveland Browns,Base Rated Rookie,True,Shedeur Sanders,Cleveland Browns,,,Shedeur Sanders,Cleveland Browns,,,2,TWO_SOURCE_VERIFIED,Independence positively assessed: differing display formatting between sources (see AUDIT notes) with matching underlying facts.
307,Jalen Milroe,Seattle Seahawks,Base Rated Rookie,True,Jalen Milroe,Seattle Seahawks,,,Jalen Milroe,Seattle Seahawks,,,2,TWO_SOURCE_VERIFIED,Independence positively assessed: differing display formatting between sources (see AUDIT notes) with matching underlying facts.
308,Jaydon Blue,Dallas Cowboys,Base Rated Rookie,True,Jaydon Blue,Dallas Cowboys,,,Jaydon Blue,Dallas Cowboys,,,2,TWO_SOURCE_VERIFIED,Independence positively assessed: differing display formatting between sources (see AUDIT notes) with matching underlying facts.
309,Will Howard,Pittsburgh Steelers,Base Rated Rookie,True,Will Howard,Pittsburgh Steelers,,,Will Howard,Pittsburgh Steelers,,,2,TWO_SOURCE_VERIFIED,Independence positively assessed: differing display formatting between sources (see AUDIT notes) with matching underlying facts.
310,Colston Loveland,Chicago Bears,Base Rated Rookie,True,Colston Loveland,Chicago Bears,,,Colston Loveland,Chicago Bears,,,2,TWO_SOURCE_VERIFIED,Independence positively assessed: differing display formatting between sources (see AUDIT notes) with matching underlying facts.
