cardNumber,player,team,subset,rookie,checklistInsiderPlayer,checklistInsiderTeam,beckettPlayer,beckettTeam,footballCardShopPlayer,footballCardShopTeam,tcdbPlayer,tcdbTeam,marketplaceSearchPlayer,marketplaceSearchTeam,searchSynthesisPlayer,searchSynthesisTeam,beckettAutographParallelPlayer,beckettAutographParallelTeam,freshDCardsPlayer,freshDCardsTeam,sportsCardInvestorPlayer,sportsCardInvestorTeam,amazonPlayer,amazonTeam,priceGuideSitePlayer,priceGuideSiteTeam,priceGuideSiteSite,sourceCount,verificationStatus,tierA,tierB,tierC,evidenceQualityStatus,passesStrictProductionGate,notes
301,Travis Hunter,Jacksonville Jaguars,Base Rated Rookie,True,Travis Hunter,Jacksonville Jaguars,Travis Hunter,Jacksonville Jaguars,,,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,checklistInsider|beckett,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across checklistInsider, beckett. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
302,Cam Skattebo,New York Giants,Base Rated Rookie,True,Cam Skattebo,New York Giants,Cam Skattebo,New York Giants,,,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,checklistInsider|beckett,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across checklistInsider, beckett. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
303,Omarion Hampton,Los Angeles Chargers,Base Rated Rookie,True,Omarion Hampton,Los Angeles Chargers,Omarion Hampton,Los Angeles Chargers,,,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,checklistInsider|beckett,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across checklistInsider, beckett. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
304,Tyler Shough,New Orleans Saints,Base Rated Rookie,True,Tyler Shough,New Orleans Saints,Tyler Shough,New Orleans Saints,,,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,checklistInsider|beckett,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across checklistInsider, beckett. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
305,Ashton Jeanty,Las Vegas Raiders,Base Rated Rookie,True,Ashton Jeanty,Las Vegas Raiders,Ashton Jeanty,Las Vegas Raiders,,,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,checklistInsider|beckett,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across checklistInsider, beckett. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
306,Shedeur Sanders,Cleveland Browns,Base Rated Rookie,True,Shedeur Sanders,Cleveland Browns,Shedeur Sanders,Cleveland Browns,,,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,checklistInsider|beckett,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across checklistInsider, beckett. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
307,Jalen Milroe,Seattle Seahawks,Base Rated Rookie,True,Jalen Milroe,Seattle Seahawks,Jalen Milroe,Seattle Seahawks,,,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,checklistInsider|beckett,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across checklistInsider, beckett. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
308,Jaydon Blue,Dallas Cowboys,Base Rated Rookie,True,Jaydon Blue,Dallas Cowboys,Jaydon Blue,Dallas Cowboys,,,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,checklistInsider|beckett,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across checklistInsider, beckett. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
309,Will Howard,Pittsburgh Steelers,Base Rated Rookie,True,Will Howard,Pittsburgh Steelers,Will Howard,Pittsburgh Steelers,,,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,checklistInsider|beckett,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across checklistInsider, beckett. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
310,Colston Loveland,Chicago Bears,Base Rated Rookie,True,Colston Loveland,Chicago Bears,Colston Loveland,Chicago Bears,,,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,checklistInsider|beckett,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across checklistInsider, beckett. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
311,Matthew Golden,Green Bay Packers,Base Rated Rookie,True,,,Matthew Golden,Green Bay Packers,,,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,beckett,,,SINGLE_STRONG_SOURCE,False,Only beckett covers this number.
312,RJ Harvey,Denver Broncos,Base Rated Rookie,True,,,,,,,,,,,RJ Harvey,Denver Broncos,RJ Harvey,Denver Broncos,,,RJ Harvey,Denver Broncos,RJ Harvey,Denver Broncos,,,,2,TWO_SOURCE_VERIFIED,,sportsCardInvestor,amazon,SINGLE_STRONG_SOURCE,False,"Upgraded 2026-09-04 round 2: Amazon.com dedicated base-card listing + Sports Card Investor dedicated page confirm #312 RJ Harvey - Denver Broncos on the BASE Rated Rookie checklist, independent of the pre-existing beckettAutographParallel (non-base) note which remains recorded separately. See donruss-websearch-round2-raw.md."
313,Tez Johnson,Tampa Bay Buccaneers,Base Rated Rookie,True,,,Tez Johnson,Tampa Bay Buccaneers,,,,,,,,,,,,,,,,,,,,1,ONE_SOURCE_VERIFIED,beckett,,,SINGLE_STRONG_SOURCE,False,Only beckett covers this number.
314,Tetairoa McMillan,Carolina Panthers,Base Rated Rookie,True,,,Tetairoa McMillan,Carolina Panthers,Tetairoa McMillan,Carolina Panthers,,,,,,,,,,,,,,,,,,2,TWO_SOURCE_VERIFIED,beckett|footballCardShop,,,CHECKLIST_CROSS_VERIFIED,True,"Agreement across beckett, footballCardShop. Independence positively assessed (formatting differs - see AUDIT) but not certain (no direct page fetch this session)."
